area_type,availability,address,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,"1 Annasandrapalya,Bangalore",11 Bedroom,,1200,6,3,150
Super built-up  Area,Ready To Move,"1 Giri Nagar,Bangalore",11 BHK,Bancyri,5000,9,3,360
Super built-up  Area,Ready To Move,"1 Immadihalli,Bangalore",11 BHK,,6000,12,,150
Plot  Area,Ready To Move,"1 Ramamurthy Nagar,Bangalore",11 Bedroom,,1200,11,0,170
Super built-up  Area,Ready To Move,"12th cross srinivas nagar banshankari 3rd stage,Bangalore",1 BHK,,1800,1,1,200
Plot  Area,Ready To Move,"1A Block Koramangala,Bangalore",4 Bedroom,,2360,4,1,650
Super built-up  Area,Ready To Move,"1Channasandra,Bangalore",14 BHK,,1250,15,0,125
Super built-up  Area,Ready To Move,"1Hanuman Nagar,Bangalore",19 BHK,,2000,16,,490
Super built-up  Area,Ready To Move,"1Hoysalanagar,Bangalore",13 BHK,,5425,13,0,275
Plot  Area,18-04-2023,"1Kasavanhalli,Bangalore",18 Bedroom,HMwerCo,1200,18,,200
Built-up  Area,Ready To Move,"1st Block BEL Layout,Bangalore",4 Bedroom,,1800,5,1,250
Super built-up  Area,Ready To Move,"1st Block BEL Layout,Bangalore",3 BHK,,1540,3,2,85
Plot  Area,Ready To Move,"1st Block HBR Layout,Bangalore",5 Bedroom,,2500,6,3,500
Super built-up  Area,Ready To Move,"1st Block HBR Layout,Bangalore",1 BHK,,600,1,0,45
Built-up  Area,Ready To Move,"1st Block HBR Layout,Bangalore",4 BHK,,3150,4,2,150
Plot  Area,18-02-2023,"1st Block HRBR Layout,Bangalore",8 Bedroom,,1200,7,0,235
Built-up  Area,Ready To Move,"1st Block HRBR Layout,Bangalore",3 BHK,,2300,3,,80
Plot  Area,Ready To Move,"1st Block HRBR Layout,Bangalore",7 Bedroom,,2400,7,3,355
Plot  Area,Ready To Move,"1st Block HRBR Layout,Bangalore",10 Bedroom,,2416,10,,600
Plot  Area,Ready To Move,"1st Block HRBR Layout,Bangalore",3 Bedroom,,600,3,1,90
Super built-up  Area,Ready To Move,"1st Block HRBR Layout,Bangalore",2 BHK,,1250,2,1,67
Plot  Area,Ready To Move,"1st Block HRBR Layout,Bangalore",3 Bedroom,,600,3,2,125
Plot  Area,Ready To Move,"1st Block HRBR Layout,Bangalore",3 Bedroom,,600,4,2,125
Super built-up  Area,17-12-2023,"1st Block Jayanagar,Bangalore",6 BHK,,1200,6,2,125
Super built-up  Area,18-06-2023,"1st Block Jayanagar,Bangalore",3 BHK,,1630,3,2,194
Super built-up  Area,20-05-2023,"1st Block Jayanagar,Bangalore",4 BHK,,2850,4,1,428
Plot  Area,Ready To Move,"1st Block Jayanagar,Bangalore",4 Bedroom,,2400,4,2,450
Plot  Area,Ready To Move,"1st Block Jayanagar,Bangalore",7 Bedroom,,930,4,2,85
Plot  Area,Ready To Move,"1st Block Jayanagar,Bangalore",8 Bedroom,,700,4,,104
Super built-up  Area,Ready To Move,"1st Block Jayanagar,Bangalore",3 BHK,,1875,2,3,235
Super built-up  Area,Ready To Move,"1st Block Jayanagar,Bangalore",2 BHK,,1000,3,2,60
Built-up  Area,15-12-2023,"1st Block Jayanagar,Bangalore",3 BHK,Bhsic C,1200,2,0,130
Super built-up  Area,18-06-2023,"1st Block Jayanagar,Bangalore",2 BHK,,1235,2,2,148
Super built-up  Area,20-05-2023,"1st Block Jayanagar,Bangalore",4 BHK,,2750,4,0,413
Super built-up  Area,Ready To Move,"1st Block Jayanagar,Bangalore",3 BHK,,1760,3,,115
Built-up  Area,Ready To Move,"1st Block Jayanagar,Bangalore",8 Bedroom,,1700,3,2,50
Super built-up  Area,20-05-2023,"1st Block Jayanagar,Bangalore",4 BHK,,2450,4,2,368
Plot  Area,18-05-2023,"1st Block Koramangala,Bangalore",4 Bedroom,,2360,4,2,600
Built-up  Area,Ready To Move,"1st Block Koramangala,Bangalore",2 BHK,Dhnts A,1415,2,3,110
Built-up  Area,Ready To Move,"1st Block Koramangala,Bangalore",2 BHK,,860,2,2,65.5
Super built-up  Area,18-12-2023,"1st Block Koramangala,Bangalore",4 BHK,,3000,3,3,300
Built-up  Area,18-03-2023,"1st Block Koramangala,Bangalore",3 BHK,,2350,3,2,210
Super built-up  Area,Ready To Move,"1st Block Koramangala,Bangalore",3 BHK,LuncyRe,1800,3,2,53
Plot  Area,18-05-2023,"1st Block Koramangala,Bangalore",4 Bedroom,,2360,4,2,601
Super built-up  Area,Ready To Move,"1st Block Koramangala,Bangalore",2 BHK,,1000,2,2,45
Super built-up  Area,Ready To Move,"1st Block Koramangala,Bangalore",4 BHK,,3000,5,3,500
Plot  Area,Ready To Move,"1st Block Koramangala,Bangalore",4 Bedroom,,1200,5,1,350
Super built-up  Area,18-05-2023,"1st Phase JP Nagar,Bangalore",2 BHK,Inntsth,1077,2,2,93
Super built-up  Area,18-05-2023,"1st Phase JP Nagar,Bangalore",3 BHK,Inntsth,1590,3,3,131
Built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",5 Bedroom,,1500,5,,85
Built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",1 BHK,Opamaan,840,2,2,50
Plot  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",8 Bedroom,,1200,7,2,240
Plot  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",2 Bedroom,,1566,2,0,180
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",4 BHK,Prhtsok,2825,4,3,250
Super built-up  Area,Ready To Move,"1st Phase JP Nagar,Bangalore",3 BHK,Prhtsok,1875,3,1,167
